category,key,source_text,english,tagalog,notes
dialogue,dialogue.gumagana_na_ang_b_radyo_b_kailangan_ko_itong_ila.079f2359,Gumagana na ang [b]radyo[/b]! Kailangan ko itong ilagay sa [b]shelf na katabi ni Lola[/b].,The [b]radio[/b] works now! I need to place it on the [b]shelf beside Lola[/b].,Gumagana na ang [b]radyo[/b]! Kailangan ko itong ilagay sa [b]shelf na katabi ni Lola[/b].,Preserve BBCode tags.
item,item.banana.fc6fae10,Banana,Banana,Saging,
ui,ui.pagkain_para_kay_chris.6a93a1fe,pagkain para kay Chris.,Food for Chris.,Pagkain para kay Chris.,
item,item.batteries.0970f9df,Batteries,Batteries,Baterya,
item,item.batteries.e2f386ed,batteries..,Batteries.,Baterya.,
item,item.broken_radio.70bf1a7e,Broken Radio,Broken Radio,Sirang Radyo,
ui,ui.di_nagana_na_radyo.8c4424e0,Di nagana na radyo..,A radio that no longer works.,Di na gumagana ang radyo.,
item,item.canned_goods.5b38aaad,Canned Goods,Canned Goods,De Lata,
ui,ui.pagkain_para_sa_pamilya_4_cans_fit_in_one_slot.8605c418,Pagkain para sa pamilya. 4 cans fit in one slot.,Food for the family. 4 cans fit in one slot.,Pagkain para sa pamilya. 4 na lata ang kasya sa isang slot.,
item,item.dead_flashlight.0bf1c281,Dead Flashlight,Dead Flashlight,Sirang Flashlight,
item,item.flashlight_na_walang_baterya_lang_kwenta_pa.83d3bf58,Flashlight na walang baterya... lang kwenta pa,A flashlight with no battery... it is useless for now.,Flashlight na walang baterya... wala pang kwenta.,
item,item.fresh_batteries.da5ff0fe,Fresh Batteries,Fresh Batteries,Bagong Baterya,
item,item.fresh_batteries.a31c1111,Fresh batteries,Fresh batteries.,Bagong baterya.,
ui,ui.hammer.7cc918f9,hammer,Hammer,Martilyo,
ui,ui.yung_martilyo_ni_tatay_mabuti_nandito_pa.2371fb33,Yung martilyo ni Tatay. Mabuti nandito pa.,"Tatay's hammer. Good, it is still here.",Yung martilyo ni Tatay. Mabuti nandito pa.,
item,item.medicine.cd8c2df2,Medicine,Medicine,Gamot,
dialogue,dialogue.medicine_for_lola.6c679948,Medicine for lola,Medicine for Lola.,Gamot ni Lola.,
item,item.nails.e6b6a071,nails,Nails,Pako,
ui,ui.pako.95fc1bef,pako,Nails.,Pako.,
item,item.plywood.6e05e2c8,plywood,Plywood,Plywood,
ui,ui.a_piece_of_wood.1825112c,a piece of wood,A piece of wood.,Isang pirasong kahoy.,
item,item.tarp.78a365e0,Tarp,Tarp,Tarp,
item,item.tarpulin.e3d6911e,Tarpulin,Tarpaulin.,Tarpulin.,
item,item.water_jugs.80fae842,Water Jugs,Water Jugs,Water Jugs,
task,task.water_containers.ca55a8b9,water containers ,Water containers.,Lalagyan ng tubig.,
item,item.working_flashlight.ef0b0f8d,working_flashlight,Working Flashlight,Gumaganang Flashlight,
ui,ui.may_ilaw_na_woohoo.70a6edb7,May ilaw na woohoo,It has light now.,May ilaw na.,
item,item.working_radio.bd5f8577,Working Radio,Working Radio,Gumaganang Radyo,
ui,ui.tugtugan_na.1310e048,tugtugan na!,It can play now!,Tugtugan na!,
item,item.wrench.60a77f2d,Wrench,Wrench,Wrench,
item,item.whole_chicken.560356fb,Whole Chicken,Whole Chicken,Buong Manok,
shop,shop.malinamnam_na_manok_ng_go_to_chooks.c5b7adaa,Malinamnam na manok ng Go To Chooks!,Delicious chicken from Go To Chooks!,Malinamnam na manok ng Go To Chooks!,
item,item.half_chicken.52865b45,Half Chicken,Half Chicken,Kalahating Manok,
ui,ui.kalahati_lang_pero_masarap_parin_pramis.74c73567,"Kalahati lang pero masarap parin, pramis","Only half, but still tasty, promise.","Kalahati lang pero masarap pa rin, pramis.",
ui,ui.ate_linda_s_sari_sari.ad4f7158,Ate Linda's Sari-sari,Ate Linda's Sari-sari Store,Sari-sari Store ni Ate Linda,
ui,ui.medyo_mahal_ang_presyo_ng_bilihin_ngayon.43a7671c,Medyo mahal ang presyo ng bilihin ngayon.,Prices are a bit high right now.,Medyo mahal ang presyo ng bilihin ngayon.,
shop,shop.groceryshop.8f18bdc8,GroceryShop,Market,Palengke,
ui,ui.mas_mura_ang_bilihin_dito_medyo_malayo_nga_lang.61dc3d66,"Mas mura ang bilihin dito, medyo malayo nga lang.","Goods are cheaper here, but it is farther away.","Mas mura ang bilihin dito, medyo malayo nga lang.",
shop,shop.hardware_store.bd4e37b9,Hardware Store,Hardware Store,Hardware Store,
ui,ui.ano_kaya_pwede_ko_bilihin_para_sa_pagayos_ng_bah.3802d205,Ano kaya pwede ko bilihin para sa pagayos ng bahay.,What can I buy to repair the house?,Ano kaya ang pwede kong bilhin para sa pag-aayos ng bahay?,
shop,shop.pharmacyshop.655e4b83,PharmacyShop,Pharmacy,Botika,
dialogue,dialogue.dito_ko_lang_makukuha_yung_gamot_ni_lola.ef22d686,Dito ko lang makukuha yung gamot ni lola..,This is the only place where I can get Lola's medicine.,Dito ko lang makukuha yung gamot ni Lola.,
shop,shop.go_to_chooks.7036790f,Go To Chooks,Go To Chooks,Go To Chooks,
item,item.masarap_kahit_walang_chicken.2ebb2d9c,Masarap kahit walang chicken,"Still delicious, even without chicken.",Masarap kahit walang chicken.,
map,map.home.70f8bb9a,Home,Home,Bahay,
ui,ui.ate_linda_s.fb7ef833,Ate Linda's,Ate Linda's,Ate Linda's,
map,map.botika.34f457ad,Botika,Pharmacy,Botika,
map,map.palengke.bc3c2396,Palengke,Market,Palengke,
ui,ui.nandito_ka.146afddf,Nandito ka,You are here,Nandito ka,
map,map.travel_cost_d_min.0d0a8cac,Travel cost: ~%d min,Travel cost: ~%d min,Tagal ng byahe: ~%d min,Preserve format placeholders.
map,map.danger_zone.0a687325,  ⚠ Danger Zone,  ⚠ Danger Zone,  ⚠ Delikadong lugar,
ui,ui.closes_early.ee7bc609,  Closes early,  Closes early,  Maagang nagsasara,
map,map.storm.a49fe775,STORM,STORM,BAGYO,
map,map.storm_has_arrived.c698595f,STORM HAS ARRIVED,STORM HAS ARRIVED,DUMATING NA ANG BAGYO,
map,map.closed.88d86b77,Closed,Closed,Sarado,
map,map.danger.58d17582,Danger,Danger,Delikado,
ui,ui.no_description.6934ceeb,No description.,No description.,Walang description.,
ui,ui.click_an_item_to_inspect_click_a_second_item_to_.fa4fbd26,"Click an item to inspect.
Click a second item to combine.","Click an item to inspect.
Click a second item to combine.","Pumili ng item para tingnan.
Pumili ng pangalawang item para pagsamahin.",
ui,ui.these_items_can_t_be_combined.abb0fa94,These items can't be combined.,These items can't be combined.,Hindi pwedeng pagsamahin ang mga item na ito.,
ui,ui.combine_s.5f66ee41,Combine -> %s,Combine -> %s,Combine -> %s,Preserve format placeholders.
ui,ui.drag_item_to_discard_slot_if_you_want_to_discard.50c45aa5,Drag item to discard slot if you want to discard it.,Drag item to discard slot if you want to discard it.,I-drag ang item sa discard slot kung gusto mo itong itapon.,
ui,ui.inventory.300d29fd,Inventory,Inventory,Imbentaryo,
ui,ui.add_this_item_to_your_backpack.f7c15bb8,Add this item to your backpack?,Add this item to your backpack?,Idagdag ang item na ito sa bag mo?,
ui,ui.confident_enough.22a04b22,Confident enough?,Confident enough?,Handa ka na?,
shop,shop.cash.b172adce,Cash:  ₱,Cash:  ₱,Pera:  ₱,
ui,ui.nabili_s_nasa_bag_mo_na.7dde9f92,Nabili! %s — nasa bag mo na.,Bought! %s is now in your bag.,Nabili! %s — nasa bag mo na.,Preserve format placeholders.
ui,ui.puno_na_ang_bag_mo_mag_iwan_muna_ng_item.51c092e0,Puno na ang bag mo. Mag-iwan muna ng item.,Your bag is full. Leave an item first.,Puno na ang bag mo. Mag-iwan muna ng item.,
shop,shop.hindi_sapat_ang_pera_kulang_ng_d.20ac5158,Hindi sapat ang pera. Kulang ng ₱%d.,Not enough money. You are short by ₱%d.,Hindi sapat ang pera. Kulang ng ₱%d.,Preserve format placeholders.
ui,ui.hindi_nabili.1f7791fe,Hindi nabili.,Could not buy it.,Hindi nabili.,
shop,shop.pera_php_d.9aae0899,Pera: PHP %d,Cash: PHP %d,Pera: PHP %d,Preserve format placeholders.
task,task.preparation_checklist.56a7701f,Preparation Checklist,Preparation Checklist,Listahan ng Paghahanda,
task,task.patch_the_roof.c42fdc0d,Patch the roof,Patch the roof,Takpan ang bubong,
item,item.tarp_nails_hammer.c22fcfe3,Tarp + nails + hammer,Tarp + nails + hammer,Tarp + pako + martilyo,
dialogue,dialogue.get_lola_s_medicine.ba850fe7,Get Lola's medicine,Get Lola's medicine,Kunin ang gamot ni Lola,
ui,ui.pharmacy.2f6c536b,Pharmacy,Pharmacy,Botika,
shop,shop.store_food.62654ac7,Store food,Store food,Mag-imbak ng pagkain,
item,item.4x_canned_goods.71880f4b,4x canned goods,4x canned goods,4x de lata,
item,item.fill_water_jugs.88c4f27f,Fill water jugs,Fill water jugs,Punuin ang water jugs,
map,map.home_faucet.ec8dc2f6,Home faucet,Home faucet,Gripo sa bahay,
task,task.board_both_windows.6c437f4c,Board both windows,Board both windows,Takpan ang dalawang bintana,
item,item.plywood_nails_hammer.7197657f,Plywood + nails + hammer,Plywood + nails + hammer,Plywood + pako + martilyo,
item,item.assemble_flashlight_radio.2e5e9eca,Assemble flashlight & radio,Assemble flashlight & radio,Ayusin ang flashlight at radyo,
item,item.flashlight_batteries_radio_batteries.6e34282d,Flashlight + batteries; radio + batteries,Flashlight + batteries; radio + batteries,Flashlight + baterya; radyo + baterya,
dialogue,dialogue.talk_to_nanay.b204df2b,Talk to Nanay,Talk to Nanay,Kausapin si Nanay,
dialogue,dialogue.talk_to_lola.d0ec73cd,Talk to Lola,Talk to Lola,Kausapin si Lola,
ui,ui.explore_around_the_house.9f5abe30,Explore around the house,Explore around the house,Maglibot sa bahay,
dialogue,dialogue.bubong_leaking_roof.9fb34cf1,Bubong — leaking roof,Roof — leaking roof,Bubong — leaking roof,
dialogue,dialogue.gamot_ni_lola_medicine_needed.0d5d3190,Gamot ni Lola — medicine needed,Lola's medicine — medicine needed,Gamot ni Lola — medicine needed,
ui,ui.pagkain_fridge_is_empty.b97b31ed,Pagkain — fridge is empty,Food — fridge is empty,Pagkain — fridge is empty,
task,task.bintana_weak_second_floor_windows.f45ad8f8,Bintana — weak windows,Windows — weak windows,Bintana — weak windows,
task,task.tubig_no_filled_water_containers.897b237e,Tubig — no filled water containers,Water — no filled water containers,Tubig — no filled water containers,
item,item.flashlight_dead_batteries.0adeb18b,Flashlight — dead batteries,Flashlight — dead batteries,Flashlight — dead batteries,
ui,ui.s_remaining.5e2da38b,%s remaining,%s remaining,%s ang natitira,Preserve format placeholders.
dialogue,dialogue.dumating_ang_bagyo.0e9780db,Dumating ang Bagyo.,The storm arrived.,Dumating ang Bagyo.,
ui,ui.nakaligtas_kami_lahat.2b32713f,Nakaligtas kami lahat.,We all survived.,Nakaligtas kami lahat.,
ui,ui.nandito_pa_rin_kami_sugatan_pero_buhay.d79fd01f,"Nandito pa rin kami. Sugatan, pero buhay.","We are still here. Wounded, but alive.","Nandito pa rin kami. Sugatan, pero buhay.",
ui,ui.mahirap_ang_gabi_pero_hindi_kami_sumuko.7d3b52c7,Mahirap ang gabi. Pero hindi kami sumuko.,The night was hard. But we did not give up.,Mahirap ang gabi. Pero hindi kami sumuko.,
ui,ui.hindi_lahat_ay_naihanda_hindi_lahat_ay_napigilan.abd89513,Hindi lahat ay naihanda. Hindi lahat ay napigilan.,Not everything was prepared. Not everything was prevented.,Hindi lahat ay naihanda. Hindi lahat ay napigilan.,
ui,ui.matatag_ang_harang_sa_bintana_naligtas_kami_sa_m.f3ac706e,"Matatag ang harang sa bintana, naligtas kami sa malalakas na hangin.","The window barricade held strong, and we survived the heavy winds.","Matatag ang harang sa bintana, naligtas kami sa malalakas na hangin.",
ui,ui.hindi_natakpan_ang_dalawang_bintana_kaya_pinasok.1c386783,"Hindi natakpan ang dalawang bintana, kaya pinasok ng hangin at ulan ang bahay.","The two windows were left uncovered, so wind and rain entered the house.","Hindi natakpan ang dalawang bintana, kaya pinasok ng hangin at ulan ang bahay.",
dialogue,dialogue.natakpan_ang_bubong_sa_oras_tuyo_ang_sahig_at_sa.cc25e175,"Natakpan ang bubong sa oras, tuyo ang sahig at sala.","The roof was covered in time, keeping the floor and living room dry.","Natakpan ang bubong sa oras, tuyo ang sahig at sala.",
dialogue,dialogue.hindi_natakpan_ang_bubong_nabasa_ang_loob_ng_bah.492e4a69,"Hindi natakpan ang bubong, nabasa ang loob ng bahay.","The roof was left uncovered, and the inside of the house got soaked.","Hindi natakpan ang bubong, nabasa ang loob ng bahay.",
dialogue,dialogue.mahimbing_ang_tulog_ni_lola_sapat_ang_kanyang_ga.0b48f70b,"Mahimbing ang tulog ni Lola, sapat ang kanyang gamot.",Lola slept peacefully. She had enough medicine.,"Mahimbing ang tulog ni Lola, sapat ang kanyang gamot.",
dialogue,dialogue.hirap_huminga_si_lola_wala_kaming_naibigay_na_lu.b4cfb76c,"Hirap huminga si Lola, wala kaming naibigay na lunas.",Lola struggled to breathe. We had no medicine to give her.,"Hirap huminga si Lola, wala kaming naibigay na lunas.",
ui,ui.may_laman_ang_aming_sikmura_may_lakas_kaming_lum.12c02ada,"May laman ang aming sikmura, may lakas kaming lumaban.","We had food in our stomachs, and strength to keep going.","May laman ang aming sikmura, may lakas kaming lumaban.",
dialogue,dialogue.wala_kaming_nakain_sa_dumating_na_bagyo.bfc70d79,Wala kaming nakain sa dumating na bagyo.,We had nothing to eat when the storm came.,Wala kaming nakain sa dumating na bagyo.,
ui,ui.may_malinis_kaming_maiinom_ligtas_kami_sa_uhaw.e32b5c80,"May malinis kaming maiinom, ligtas kami sa uhaw.","We had clean water to drink, safe from thirst.","May malinis kaming maiinom, ligtas kami sa uhaw.",
ui,ui.tuyo_ang_lalamunan_madumi_ang_tubig_sa_paligid.e638aa3e,"Tuyo ang lalamunan, madumi ang tubig sa paligid.","Our throats were dry, surrounded by dirty floodwater.","Tuyo ang lalamunan, madumi ang tubig sa paligid.",
ui,ui.may_liwanag_at_balita_alam_namin_ang_nangyayari.fce92367,"May liwanag at balita, alam namin ang nangyayari.",We had light and news. We knew what was happening.,"May liwanag at balita, alam namin ang nangyayari.",
ui,ui.nabalot_kami_ng_dilim_bingi_kami_sa_labas_ng_mun.74c56ad1,"Nabalot kami ng dilim, bingi kami sa labas ng mundo.","Darkness surrounded us, cut off from the outside world.","Nabalot kami ng dilim, bingi kami sa labas ng mundo.",
ending,ending.save_your_run.ba0356c2,SAVE YOUR RUN,SAVE YOUR RUN,I-SAVE ANG RUN,
task,task.mode_s_tasks_d_d_time_left_s.702430cd,Mode: %s    Tasks: %d / %d    Time left: %s,Mode: %s    Tasks: %d / %d    Time left: %s,Mode: %s    Gawain: %d / %d    Natitirang oras: %s,Preserve format placeholders.
ui,ui.enter_player_name.f6f64a38,Enter player name,Enter player name,Ilagay ang pangalan ng player,
item,item.every_year_an_average_of_20_typhoons_test_our_re.79360862,"Every year, an average of 20 typhoons test our resilience. But while ""flood control projects"" remain sturdy only on paper and political tarpaulins, ordinary citizens are left to swim for their lives.","Every year, an average of 20 typhoons test our resilience. But while ""flood control projects"" remain sturdy only on paper and political tarpaulins, ordinary citizens are left to swim for their lives.","Taon-taon, humigit-kumulang 20 bagyo ang sumusubok sa ating tatag. Pero habang ang mga ""flood control project"" ay matibay lang sa papel at political tarpaulin, ordinaryong mamamayan ang naiiwang lumangoy para mabuhay.",
ending,ending.safety_is_not_a_privilege_to_be_earned_it_is_a_b.8d3f6038,Safety is not a privilege to be earned. It is a basic accountability of those in power.,Safety is not a privilege to be earned. It is a basic accountability of those in power.,Ang kaligtasan ay hindi pribilehiyong kailangang paghirapan. Ito ay pangunahing pananagutan ng mga nasa kapangyarihan.,
ui,ui.grocery_market.28bf1b79,Grocery / Market,Market,Palengke,
ui,ui.grocery.37162abe,Grocery,Grocery,Palengke,
ui,ui.you_are_here.b900c1e3,You are here,You are here,Nandito ka,
shop,shop.bought_s_is_now_in_your_bag.7af93b10,Bought! %s is now in your bag.,Bought! %s is now in your bag.,Nabili! %s — nasa bag mo na.,Preserve format placeholders.
ui,ui.your_bag_is_full_leave_an_item_first.5773e04d,Your bag is full. Leave an item first.,Your bag is full. Leave an item first.,Puno na ang bag mo. Mag-iwan muna ng item.,
ui,ui.not_enough_money_you_are_short_by_d.0fe33bd0,Not enough money. You are short by ₱%d.,Not enough money. You are short by ₱%d.,Hindi sapat ang pera. Kulang ng ₱%d.,Preserve format placeholders.
ui,ui.could_not_buy_it.a998592e,Could not buy it.,Could not buy it.,Hindi nabili.,
shop,shop.cash_php_d.fb090b01,Cash: PHP %d,Cash: PHP %d,Pera: PHP %d,Preserve format placeholders.
task,task.roof_leaking_roof.59607c33,Roof — leaking roof,Roof — leaking roof,Bubong — leaking roof,
dialogue,dialogue.lola_s_medicine_medicine_needed.de948e8a,Lola's medicine — medicine needed,Lola's medicine — medicine needed,Gamot ni Lola — medicine needed,
task,task.food_fridge_is_empty.c220b48e,Food — fridge is empty,Food — fridge is empty,Pagkain — fridge is empty,
task,task.windows_weak_second_floor_windows.ca8e6b80,Windows — weak windows,Windows — weak windows,Bintana — weak windows,
task,task.bintana_weak_second_floor_windows.7f2b5c91,Bintana — weak second-floor windows,Windows — weak windows,Bintana — weak windows,
task,task.water_no_filled_water_containers.27bee1f1,Water — no filled water containers,Water — no filled water containers,Tubig — no filled water containers,
map,map.the_storm_arrived.1c3ec103,The storm arrived.,The storm arrived.,Dumating ang Bagyo.,
ending,ending.we_all_survived.5c9f2767,We all survived.,We all survived.,Nakaligtas kami lahat.,
ui,ui.we_are_still_here_wounded_but_alive.8f148da2,"We are still here. Wounded, but alive.","We are still here. Wounded, but alive.","Nandito pa rin kami. Sugatan, pero buhay.",
ending,ending.the_night_was_hard_but_we_did_not_give_up.0229af2b,The night was hard. But we did not give up.,The night was hard. But we did not give up.,Mahirap ang gabi. Pero hindi kami sumuko.,
ui,ui.not_everything_was_prepared_not_everything_was_p.4148af6b,Not everything was prepared. Not everything was prevented.,Not everything was prepared. Not everything was prevented.,Hindi lahat ay naihanda. Hindi lahat ay napigilan.,
task,task.the_window_barricade_held_strong_and_we_survived.11bc4411,"The window barricade held strong, and we survived the heavy winds.","The window barricade held strong, and we survived the heavy winds.","Matatag ang harang sa bintana, naligtas kami sa malalakas na hangin.",
task,task.the_two_windows_were_left_uncovered_so_wind_and_.5ef25040,"The two windows were left uncovered, so wind and rain entered the house.","The two windows were left uncovered, so wind and rain entered the house.","Hindi natakpan ang dalawang bintana, kaya pinasok ng hangin at ulan ang bahay.",
task,task.the_roof_was_covered_in_time_keeping_the_floor_a.5dfbcc0a,"The roof was covered in time, keeping the floor and living room dry.","The roof was covered in time, keeping the floor and living room dry.","Natakpan ang bubong sa oras, tuyo ang sahig at sala.",
task,task.the_roof_was_left_uncovered_and_the_inside_of_th.037797ce,"The roof was left uncovered, and the inside of the house got soaked.","The roof was left uncovered, and the inside of the house got soaked.","Hindi natakpan ang bubong, nabasa ang loob ng bahay.",
dialogue,dialogue.lola_slept_peacefully_she_had_enough_medicine.6c2a3209,Lola slept peacefully. She had enough medicine.,Lola slept peacefully. She had enough medicine.,"Mahimbing ang tulog ni Lola, sapat ang kanyang gamot.",
dialogue,dialogue.lola_struggled_to_breathe_we_had_no_medicine_to_.ec897c2d,Lola struggled to breathe. We had no medicine to give her.,Lola struggled to breathe. We had no medicine to give her.,"Hirap huminga si Lola, wala kaming naibigay na lunas.",
task,task.we_had_food_in_our_stomachs_and_strength_to_keep.502c6d1e,"We had food in our stomachs, and strength to keep going.","We had food in our stomachs, and strength to keep going.","May laman ang aming sikmura, may lakas kaming lumaban.",
map,map.we_had_nothing_to_eat_when_the_storm_came.0ef21cc2,We had nothing to eat when the storm came.,We had nothing to eat when the storm came.,Wala kaming nakain sa dumating na bagyo.,
task,task.we_had_clean_water_to_drink_safe_from_thirst.11651b12,"We had clean water to drink, safe from thirst.","We had clean water to drink, safe from thirst.","May malinis kaming maiinom, ligtas kami sa uhaw.",
task,task.our_throats_were_dry_surrounded_by_dirty_floodwa.cc52fcc6,"Our throats were dry, surrounded by dirty floodwater.","Our throats were dry, surrounded by dirty floodwater.","Tuyo ang lalamunan, madumi ang tubig sa paligid.",
ui,ui.we_had_light_and_news_we_knew_what_was_happening.060aee0a,We had light and news. We knew what was happening.,We had light and news. We knew what was happening.,"May liwanag at balita, alam namin ang nangyayari.",
ui,ui.darkness_surrounded_us_cut_off_from_the_outside_.ee59fe44,"Darkness surrounded us, cut off from the outside world.","Darkness surrounded us, cut off from the outside world.","Nabalot kami ng dilim, bingi kami sa labas ng mundo.",
ui,ui.exit.f83b6fe3,Exit,Exit,Exit,
ui,ui.x_d.70702b23,x%d,x%d,x%d,Preserve format placeholders.
ui,ui.barter_only.48d54320,Barter only,Barter only,Barter only,
ui,ui.out_of_stock.8b78c7ae,Out of stock,Out of stock,Out of stock,
ui,ui.d.7564f2b3,₱%d,₱%d,₱%d,Preserve format placeholders.
ui,ui.d.5df29b80,%d,%d,%d,Preserve format placeholders.
ui,ui.buy.7ceca51f,Buy,Buy,Buy,
ui,ui.tindero.93ff108b,Tindero,Tindero,Tindero,
ui,ui.player.e53407cf,Player,Player,Player,
ui,ui.settings.c7f73bb5,Settings,Settings,Settings,
ui,ui.reset.44c57abd,Reset,Reset,Reset,
ui,ui.close.bbfa773e,Close,Close,Close,
ui,ui.language.89b86ab0,Language,Language,Language,
ui,ui.vhs_crt.0d25c234,VHS / CRT,VHS / CRT,VHS / CRT,
ui,ui.enabled.df174a3f,Enabled,Enabled,Enabled,
ui,ui.ui_scale.3ccf015e,UI Scale,UI Scale,UI Scale,
ui,ui.d.3701471b,%d%%,%d%%,%d%%,Preserve format placeholders.
ui,ui.game_credits.9998a382,GAME   CREDITS,GAME   CREDITS,GAME   CREDITS,
ui,ui.close.dbc87420,CLOSE,CLOSE,CLOSE,
ui,ui.6_00_am.832a892a,6:00 AM,6:00 AM,6:00 AM,
ui,ui.12_hours_remaining.993a8dfd,12 hours remaining,12 hours remaining,12 hours remaining,
ui,ui.esc_pause_e_interact_shift_sprint_tab_open_inven.edac7677,"Esc - Pause
E - Interact
Shift - Sprint
Tab - Open Inventory
M - Open/Close Map","Esc - Pause
E - Interact
Shift - Sprint
Tab - Open Inventory
M - Open/Close Map","Esc - Pause
E - Interact
Shift - Sprint
Tab - Open Inventory
M - Open/Close Map",
ui,ui.leaderboards.cd53c4fe,LEADERBOARDS,LEADERBOARDS,LEADERBOARDS,
ui,ui.confirm_clear.495e6da3,CONFIRM CLEAR,CONFIRM CLEAR,CONFIRM CLEAR,
ui,ui.clear.16ec74fc,CLEAR,CLEAR,CLEAR,
ui,ui.no_completed_runs_yet.9de0588b,No completed runs yet.,No completed runs yet.,No completed runs yet.,
ui,ui.combine.30d04e0f,Combine,Combine,Combine,
ui,ui.discard.36fff63c,Discard,Discard,Discard,
ui,ui.ahhhhhhhhhhhhhhhhhhhhhhh.d66520c5,AHHHHHHHHHHHHHHHHHHHHHHH ,AHHHHHHHHHHHHHHHHHHHHHHH ,AHHHHHHHHHHHHHHHHHHHHHHH ,
ui,ui.dialoguedialoguedialoguedialoguedialoguedialogue.71060431,DialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogue,DialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogue,DialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogueDialogue,
ui,ui.press_e_to_continue.ff638a57,Press E to continue...,Press E to continue...,Press E to continue...,
ui,ui.destination.1d90c070,Destination: ,Destination: ,Destination: ,
map,map.travel_time.1f903d23,Travel Time:,Travel Time:,Travel Time:,
ui,ui.confirm.04a21221,Confirm,Confirm,Confirm,
ui,ui.cancel.77dfd213,Cancel,Cancel,Cancel,
ui,ui.end_the_day.82594dad,END THE DAY,END THE DAY,END THE DAY,
ui,ui.mabataksnmgnbajkgnbaksnakfnkafn.ef31ffef,MABATAKSNMGNBAJKGNBAKSNAKFNKAFN,MABATAKSNMGNBAJKGNBAKSNAKFNKAFN,MABATAKSNMGNBAJKGNBAKSNAKFNKAFN,
ui,ui.hello_my_ni.8d7f26d8,Hello my ni-,Hello my ni-,Hello my ni-,
ui,ui.s_s.d5e99a8a,%s (%s),%s (%s),%s (%s),Preserve format placeholders.
ui,ui.ok.9ce3bd42,OK,OK,OK,
ui,ui.paused.cd5d07c9,PAUSED,PAUSED,PAUSED,
ui,ui.resume.b54746f4,▶ Resume,▶ Resume,▶ Resume,
ui,ui.settings.9249b284,⚙ Settings,⚙ Settings,⚙ Settings,
ui,ui.tutorial.2701a94c,Tutorial,Tutorial,Tutorial,
ui,ui.restart.e70027b3,↺ Restart,↺ Restart,↺ Restart,
ui,ui.quit_to_title.c0985200,QUIT TO TITLE,QUIT TO TITLE,QUIT TO TITLE,
task,task.objectives.e64e22b1,OBJECTIVES,OBJECTIVES,OBJECTIVES,
task,task.new_objective.0ae9b5a8,NEW OBJECTIVE,NEW OBJECTIVE,NEW OBJECTIVE,
ui,ui.d_php.656ddf63,+%d PHP,+%d PHP,+%d PHP,Preserve format placeholders.
shop,shop.pera_php_0.487d352f,Pera: PHP 0,Pera: PHP 0,Pera: PHP 0,
ui,ui.700_php.edbc2030,+700 PHP,+700 PHP,+700 PHP,
ui,ui.tutorial_and_controls.1a2e546b,Tutorial and Controls,Tutorial and Controls,Tutorial and Controls,
task,task.prepare_your_home_before_the_storm_arrives_watch.28ed1532,"Prepare your home before the storm arrives. Watch your time, money, and checklist.","Prepare your home before the storm arrives. Watch your time, money, and checklist.","Prepare your home before the storm arrives. Watch your time, money, and checklist.",
ui,ui.do_not_show_again.5e7ddeb3,Do not show again,Do not show again,Do not show again,
ui,ui.continue.2e026239,Continue,Continue,Continue,
ui,ui.press_e_to_interact.af75cd21,[Press E to Interact],[Press E to Interact],[Press E to Interact],
ui,ui.interact_e.5f7a91c2,Interact [E],Interact [E],Interact [E],
ui,ui.go_outside.6d62b968,go outside,go outside,go outside,
ui,ui.go_out.52f7f7cc,go out,go out,go out,
ui,ui.save.508156a3,SAVE,SAVE,SAVE,
ui,ui.3_netherite_ingots_ateneo_de_naga_university_sof.8d920a23,3 Netherite Ingots - Ateneo de Naga University Software Festival 2026,3 Netherite Ingots - Ateneo de Naga University Software Festival 2026,3 Netherite Ingots - Ateneo de Naga University Software Festival 2026,
ui,ui.developed_by.afb6389e,developed by,developed by,developed by,
ui,ui.3_netherite_ingots.af182a12,3 Netherite Ingots,3 Netherite Ingots,3 Netherite Ingots,
ui,ui.click_anywhere_to_skip.895ab0d0,click anywhere to skip,click anywhere to skip,click anywhere to skip,
ui,ui.go_back.fa4bd0e8,Go back ,Go back ,Go back ,
item,item.pickup_radio.3c53d65e,Pickup radio,Pickup radio,Pickup radio,
ui,ui.go_inside.f2c5c197,Go Inside,Go Inside,Go Inside,
dialogue,dialogue.place_lola_s_medicine.68e1d862,Place Lola's Medicine,Place Lola's Medicine,Place Lola's Medicine,
task,task.fill_water_jug.6f7bd521,Fill Water Jug,Fill Water Jug,Fill Water Jug,
item,item.place_working_radio.4a14b7b8,Place Working Radio,Place Working Radio,Place Working Radio,
item,item.place_radio_flashlight.251bb13e,Place Radio & Flashlight,Place Radio & Flashlight,Place Radio & Flashlight,
dialogue,dialogue.bagyong_bahay.8129bfd4,"Bagyong 
Bahay","Bagyong 
Bahay","Bagyong 
Bahay",
